1528759240.845518,7154897,18FEDF00,8,81,A0,28,7D,FB,FF,FF,F0
1528759240.846473,7154897,0CF00A00,8,00,00,00,00,FF,FF,FF,FF
1528759240.850526,7154901,0CF00300,8,DA,FE,08,FF,FF,1F,6A,7E
1528759240.851479,7154902,18FEF200,8,00,00,00,00,0E,06,FF,FF
1528759240.857552,7154908,0CF00400,8,0E,7D,81,00,00,00,0F,7D
1528759240.860596,7154911,0CFD9200,8,F0,FF,FF,FF,FF,FF,FF,FF
1528759240.864596,7154916,18ECFFFA,8,20,1D,00,05,FF,EB,FE,00
1528759240.865558,7154917,18EBFFFA,8,01,20,53,59,4E,45,52,2A
1528759240.866568,7154917,18FEDF00,8,81,A0,28,7D,FB,FF,FF,F0
1528759240.866568,7154918,18EBFFFA,8,02,53,53,53,32,2D,30,35
1528759240.867556,7154918,18F00E00,8,FF,FE,FF,FF,C0,9F,FF,FF
1528759240.867556,7154919,18EBFFFA,8,03,2A,30,30,37,38,2A,55
1528759240.868556,7154919,18FEE000,8,97,44,31,00,80,44,31,00
1528759240.869554,7154920,18EBFFFA,8,04,4E,49,56,45,52,53,41
1528759240.869554,7154921,18EBFFFA,8,05,4C,FF,FF,FF,FF,FF,FF
1528759240.870553,7154922,0CF00300,8,DA,FE,08,FF,FF,1F,6A,7E
1528759240.875634,7154926,18F00100,8,FF,FF,FF,FF,FF,FF,FF,FF
1528759240.876645,7154928,0CF00400,8,0E,7D,81,00,00,00,0F,7D
1528759240.880682,7154931,18FEF700,8,FF,FF,FF,FF,F6,00,FF,FF
1528759240.881661,7154932,18EBFF00,8,03,AD,40,1F,FF,FF,0D,0C
1528759240.885683,7154937,18FEDF00,8,81,A0,28,7D,FB,FF,FF,F0
1528759240.890682,7154941,0CF00300,8,DA,FE,08,FF,FF,1F,6A,7E
1528759240.890682,7154942,18F00F00,8,FF,FE,FF,FF,C0,9F,FF,FF
1528759240.895684,7154947,0CF00A00,8,00,00,00,00,FF,FF,FF,FF
1528759240.896654,7154947,18F0000F,8,F0,7D,7D,FF,0F,FF,FF,FF
